ts_code,trade_date,year_month,open,close,high,low,vol,amount,first_day,last_day,monthly_return
002154.SZ,20070801,200708,45.0,37.74,51.5,35.2,405663.51000000007,1699332.5814,20070816,20070831,0.0
002154.SZ,20070901,200709,37.57,30.76,38.5,29.4,171760.40000000002,587311.6575,20070903,20070928,-0.18494965553789078
002154.SZ,20071001,200710,30.78,31.38,35.38,29.4,167369.01,544580.5853,20071008,20071031,0.020156046814044037
002154.SZ,20071101,200711,31.51,25.64,33.95,25.1,206722.60000000003,586201.5694,20071101,20071130,-0.18291905672402797
002154.SZ,20071201,200712,25.75,34.5,35.5,25.14,181560.95,549820.571,20071203,20071228,0.345553822152886
002154.SZ,20080101,200801,34.61,33.13,38.98,31.71,180635.87000000002,644480.6184,20080102,20080131,-0.039710144927536106
002154.SZ,20080201,200802,33.05,37.0,38.95,31.06,85404.77,312559.4577,20080201,20080229,0.11681255659523093
002154.SZ,20080301,200803,37.0,36.86,39.3,29.05,113442.44000000002,407239.60630000004,20080303,20080331,-0.003783783783783745
002154.SZ,20080401,200804,36.36,17.53,41.3,16.55,321979.8,899784.8748,20080401,20080430,-0.5244167118827998
002154.SZ,20080501,200805,17.6,18.72,22.2,17.25,459071.49,930884.0547,20080505,20080530,0.0678836280661721
002154.SZ,20080601,200806,18.5,17.8,20.38,15.8,198914.49999999997,368216.9586,20080602,20080630,-0.04914529914529908
002154.SZ,20080701,200807,17.82,18.5,20.19,17.1,139054.25999999998,266136.9592,20080701,20080731,0.0393258426966292
002154.SZ,20080801,200808,18.79,15.0,19.2,14.31,77911.34999999999,126127.7052,20080801,20080829,-0.18918918918918914
002154.SZ,20080901,200809,15.0,14.91,17.9,12.84,131631.17,196547.36279999997,20080901,20080926,-0.006000000000000005
002154.SZ,20081001,200810,14.92,11.77,14.92,10.85,73329.17000000001,89741.3748,20081006,20081031,-0.21059691482226695
002154.SZ,20081101,200811,11.69,10.91,13.35,10.9,115376.66,139050.87720000002,20081103,20081128,-0.0730671197960917
002154.SZ,20081201,200812,10.98,11.0,13.49,10.56,303409.11000000004,369198.6714,20081201,20081231,0.008249312557286892
002154.SZ,20090101,200901,11.14,13.69,13.97,10.92,312984.43,394612.7887,20090105,20090123,0.2445454545454544
002154.SZ,20090201,200902,13.74,12.51,15.2,12.35,487060.54,683542.8455999999,20090202,20090227,-0.08619430241051862
002154.SZ,20090301,200903,12.88,14.43,15.18,12.51,390958.13000000006,549014.7973000001,20090302,20090331,0.1534772182254196
002154.SZ,20090401,200904,14.49,16.63,17.1,14.26,563721.75,885561.4415999999,20090401,20090430,0.15246015246015232
002154.SZ,20090501,200905,16.85,11.87,17.39,11.68,218941.09,359076.7232,20090504,20090527,-0.28622970535177394
002154.SZ,20090601,200906,11.88,12.6,13.5,11.66,382443.20999999996,482758.2931,20090601,20090630,0.061499578770008556
002154.SZ,20090701,200907,12.64,13.53,14.44,12.44,496735.79000000004,669408.7875,20090701,20090731,0.07380952380952377
002154.SZ,20090801,200908,13.34,13.08,14.98,12.69,497559.22000000003,696068.0981,20090803,20090831,-0.03325942350332589
002154.SZ,20090901,200909,13.0,15.36,16.19,12.81,533214.65,795502.8469999998,20090901,20090930,0.17431192660550443
002154.SZ,20091001,200910,15.44,18.72,19.35,15.27,432314.35,752182.0042000001,20091009,20091030,0.21875
002154.SZ,20091101,200911,18.05,21.93,22.79,18.05,562279.35,1187932.6328999999,20091102,20091130,0.17147435897435903
