ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return
600354.SH,20040115,8.73,11.45,8.6,11.16,5.68,5.48,96.48,435863.62,413362.821,0.0
600354.SH,20040116,10.18,10.57,10.04,10.04,11.16,-1.12,-10.04,253192.94,257889.882,-0.10035842293906816
600354.SH,20040129,9.75,10.17,9.66,9.97,10.04,-0.07,-0.7,116128.11,114660.192,-0.006972111553784743
600354.SH,20040130,9.88,9.96,9.51,9.68,9.97,-0.29,-2.91,107526.82,104437.15,-0.029087261785356144
600354.SH,20040202,9.97,10.46,9.62,10.2,9.68,0.52,5.37,156505.77,157367.842,0.05371900826446274
600354.SH,20040203,10.2,10.38,10.04,10.16,10.2,-0.04,-0.39,80071.79,81536.406,-0.0039215686274508554
600354.SH,20040204,10.18,10.53,10.18,10.3,10.16,0.14,1.38,82678.1,85582.178,0.013779527559055094
600354.SH,20040205,10.3,10.4,10.11,10.26,10.3,-0.04,-0.39,66885.17,68264.429,-0.003883495145631133
600354.SH,20040206,10.26,10.92,10.21,10.43,10.26,0.17,1.66,117510.59,124768.68,0.016569200779727122
600354.SH,20040209,10.53,10.9,10.5,10.83,10.43,0.4,3.84,84610.14,90444.829,0.038350910834132446
600354.SH,20040210,10.88,10.98,10.5,10.57,10.83,-0.26,-2.4,59028.63,62926.799,-0.024007386888273308
600354.SH,20040211,10.58,10.97,10.54,10.85,10.57,0.28,2.65,80104.77,86602.656,0.026490066225165476
600354.SH,20040212,10.95,11.1,10.7,10.77,10.85,-0.08,-0.74,51217.27,55531.637,-0.007373271889400956
600354.SH,20040213,10.81,10.92,10.4,10.41,10.77,-0.36,-3.34,56847.23,60164.24,-0.03342618384401108
600354.SH,20040216,10.43,10.63,10.41,10.63,10.41,0.22,2.11,37021.7,39001.309,0.0211335254562921
600354.SH,20040217,10.63,10.8,10.5,10.53,10.63,-0.1,-0.94,49771.2,52942.092,-0.009407337723424392
600354.SH,20040218,10.53,10.6,10.12,10.3,10.53,-0.23,-2.18,66815.55,69012.01,-0.021842355175688333
