日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2010-01-29,"-0.0858","0.0638","-0.0419"
2010-02-26,"0.0295","0.0422","-0.0072"
2010-03-31,"0.0237","0.0303","-0.0063"
2010-04-30,"-0.0786","0.0094","-0.0384"
2010-05-31,"-0.0846","0.0076","-0.0412"
2010-06-30,"-0.0781","-0.0151","0.0139"
2010-07-30,"0.1213","0.0213","-0.0011"
2010-08-31,"0.0243","0.0582","-0.0654"
2010-09-30,"0.0086","-0.0106","-0.0318"
2010-10-29,"0.1176","-0.0362","0.0215"
2010-11-30,"-0.0456","0.0538","-0.0486"
2010-12-31,"-0.0120","-0.0119","0.0324"
2011-01-31,"-0.0250","-0.0306","0.0456"
2011-02-28,"0.0493","0.0512","-0.0318"
2011-03-31,"-0.0018","0.0171","0.0234"
2011-04-29,"-0.0175","-0.0072","0.0072"
2011-05-31,"-0.0639","-0.0045","-0.0125"
2011-06-30,"0.0194","0.0115","-0.0107"
2011-07-29,"-0.0140","0.0192","-0.0507"
2011-08-31,"-0.0506","0.0186","-0.0238"
2011-09-30,"-0.0939","-0.0218","0.0383"
2011-10-31,"0.0388","0.0049","0.0125"
2011-11-30,"-0.0552","0.0126","-0.0327"
2011-12-30,"-0.0778","-0.0751","0.0680"
2012-01-31,"0.0275","-0.0351","0.0180"
2012-02-29,"0.0675","0.0480","-0.0294"
2012-03-30,"-0.0728","0.0055","0.0061"
2012-04-27,"0.0552","0.0198","-0.0098"
2012-05-31,"-0.0038","0.0035","-0.0212"
2012-06-29,"-0.0538","-0.0001","-0.0156"
2012-07-31,"-0.0586","-0.0417","0.0061"
2012-08-31,"-0.0268","0.0706","-0.0198"
2012-09-28,"0.0211","-0.0274","-0.0173"
2012-10-31,"-0.0123","0.0120","0.0171"
2012-11-30,"-0.0635","-0.0534","0.0486"
2012-12-31,"0.1476","0.0130","0.0156"
2013-01-31,"0.0479","0.0466","-0.0153"
2013-02-28,"-0.0021","0.0358","-0.0102"
2013-03-29,"-0.0530","0.0163","-0.0145"
2013-04-26,"-0.0269","0.0074","0.0056"
2013-05-31,"0.0751","0.0698","-0.0214"
