,day,open,high,low,close,volume
0,2004-06-28,6.600,6.750,6.350,6.700,191211
1,2004-06-29,6.650,6.920,6.510,6.900,181492
2,2004-06-30,6.860,6.960,6.760,6.950,251999
3,2004-07-01,6.950,7.120,6.850,7.060,345368
4,2004-07-02,7.070,7.070,6.960,7.040,179654
5,2004-07-05,7.060,7.060,6.890,6.970,67800
6,2004-07-06,6.990,7.020,6.920,6.960,98880
7,2004-07-07,7.100,7.100,6.950,6.950,61400
8,2004-07-08,6.920,6.950,6.830,6.920,57689
9,2004-07-09,6.900,7.010,6.860,6.870,46200
10,2004-07-12,6.850,6.850,6.640,6.640,51300
11,2004-07-13,6.580,6.680,6.580,6.680,60880
12,2004-07-14,6.780,6.780,6.550,6.630,89755
13,2004-07-15,6.620,6.720,6.580,6.690,60924
14,2004-07-16,6.750,6.980,6.750,6.880,112350
15,2004-07-19,6.820,7.000,6.810,6.920,112340
16,2004-07-20,6.880,6.990,6.840,6.980,51701
17,2004-07-21,6.880,7.020,6.860,6.880,73707
18,2004-07-22,6.880,6.980,6.650,6.680,82780
19,2004-07-23,6.650,6.740,6.650,6.740,67220
20,2004-07-26,6.710,6.720,6.660,6.670,65777
21,2004-07-27,6.670,6.700,6.600,6.680,57550
22,2004-07-28,6.680,6.730,6.620,6.680,35800
23,2004-07-29,6.680,6.800,6.660,6.780,63140
24,2004-07-30,6.740,6.780,6.600,6.620,83576
25,2004-08-02,6.650,6.950,6.580,6.730,60976
26,2004-08-03,6.750,6.760,6.680,6.720,44551
27,2004-08-04,6.720,6.900,6.690,6.840,99590
28,2004-08-05,6.840,6.840,6.780,6.780,57800
29,2004-08-06,6.800,6.880,6.720,6.850,85980
30,2004-08-09,6.850,6.930,6.810,6.890,76340
31,2004-08-10,6.890,6.890,6.830,6.880,59920
32,2004-08-11,6.880,6.930,6.750,6.750,81500
33,2004-08-12,6.700,6.740,6.650,6.670,77115
34,2004-08-13,6.690,7.000,6.690,6.810,98680
35,2004-08-16,6.800,6.860,6.720,6.800,72300
36,2004-08-17,6.750,6.890,6.700,6.890,63080
37,2004-08-18,6.890,6.970,6.800,6.930,122739
38,2004-08-19,6.900,6.960,6.830,6.940,265196
39,2004-08-20,6.900,6.940,6.400,6.570,328483
40,2004-08-23,6.460,6.550,6.460,6.510,99050
41,2004-08-24,6.460,6.640,6.460,6.610,140645
42,2004-08-25,6.630,6.650,6.530,6.580,42800
43,2004-08-26,6.560,6.620,6.500,6.600,73516
