日期,开盘价,最高价,最低价,收盘价,成交量(股),成交金额(元)
1999-01-04,11.0,11.0,10.56,10.88,191800,2079802
1999-01-05,10.88,10.88,10.6,10.7,141300,1518862
1999-01-06,10.66,10.88,10.59,10.85,171200,1848084
1999-01-07,10.7,10.89,10.58,10.89,161800,1745628
1999-01-08,10.81,11.07,10.76,11.0,351100,3842970
1999-01-11,10.99,11.09,10.85,11.09,154200,1690530
1999-01-12,11.08,11.24,11.0,11.24,214900,2394626
1999-01-13,11.13,11.22,11.09,11.22,260000,2902008
1999-01-14,11.17,11.22,11.12,11.22,461500,5155517
1999-01-15,11.18,11.18,10.1,10.8,341400,3677691
1999-01-18,10.72,10.87,10.72,10.76,293100,3165976
1999-01-19,10.76,11.06,10.7,11.06,362600,3943975
1999-01-20,11.0,11.18,11.0,11.17,272900,3030447
1999-01-21,11.17,11.21,11.13,11.21,273400,3053729
1999-01-22,11.18,11.31,11.15,11.31,500000,5626860
1999-01-25,11.29,11.32,11.23,11.32,339800,3832252
1999-01-26,11.29,11.35,11.26,11.35,619200,7002241
1999-01-27,11.3,11.33,11.25,11.31,584200,6606078
1999-01-28,11.27,11.68,11.14,11.64,452900,5128352
1999-01-29,11.65,11.65,11.08,11.5,498500,5672872
1999-02-01,11.2,11.2,11.05,11.06,48000,532905
1999-02-02,11.06,11.1,10.82,11.03,613200,6690101
1999-02-03,10.99,11.2,10.86,10.86,562600,6228856
1999-02-04,10.38,10.7,10.38,10.5,98800,1046041
1999-02-05,10.5,10.98,10.5,10.55,995900,10654223
1999-02-08,10.55,10.6,10.44,10.5,65200,684910
1999-02-09,10.51,10.6,10.46,10.53,35500,372894
1999-03-01,10.9,10.9,10.5,10.59,76000,808602
1999-03-02,10.58,10.68,10.53,10.65,133000,1409114
1999-03-03,10.75,11.3,10.61,11.09,293500,3247805
1999-03-04,11.2,11.2,10.85,11.05,49100,541664
1999-03-05,11.0,11.3,10.89,11.29,382800,4253937
1999-03-08,11.13,11.17,10.9,11.05,133400,1473509
1999-03-09,11.05,11.3,11.05,11.09,503900,5607932
1999-03-10,11.09,11.15,10.76,11.05,98900,1081116
1999-03-11,11.0,11.09,10.85,11.04,92500,1014045
1999-03-12,11.05,11.34,11.05,11.21,774700,8651261
1999-03-15,11.12,11.57,11.01,11.37,869700,9868943
1999-03-16,11.39,11.42,10.98,11.23,863000,9560045
1999-03-17,11.11,11.17,10.98,11.09,594000,6563199
1999-03-18,11.06,11.06,10.81,10.88,228600,2497488
1999-03-19,10.85,11.14,10.7,11.14,173100,1874663
1999-03-22,11.05,11.25,10.86,11.22,278600,3091885
1999-03-23,11.24,11.26,10.95,11.23,360300,3988056
1999-03-24,11.2,11.2,10.92,10.92,104400,1146400
1999-03-25,10.9,11.0,10.74,11.0,118900,1286333
1999-03-26,11.0,11.37,10.85,11.21,943000,10558076
1999-03-29,11.14,11.24,11.1,11.2,429700,4807389
1999-03-30,11.2,11.23,10.81,10.85,237200,2626251
1999-03-31,10.87,11.0,10.78,10.98,292600,3191841
1999-04-01,10.9,11.1,10.9,11.09,485800,5346686
1999-04-02,11.09,11.24,11.08,11.23,755900,8439722
1999-04-05,11.25,11.27,11.1,11.15,274000,3057765
1999-04-06,11.16,11.78,11.05,11.38,2753700,31375763
1999-04-07,11.38,11.38,10.86,11.0,476100,5272797
