日期_Date,风险因子_流通市值加权_持有期收益_Beta_tmv_h,风险因子_流通市值加权_累积收益_Beta_tmv_c
2001-01-19,"0.8750","0.8707"
2001-02-28,"0.8841","0.8799"
2001-03-30,"0.8791","0.8749"
2001-04-30,"0.8754","0.8713"
2001-05-31,"0.8733","0.8691"
2001-06-29,"0.8733","0.8691"
2001-07-31,"0.8530","0.8494"
2001-08-31,"0.8534","0.8498"
2001-09-28,"0.8528","0.8493"
2001-10-31,"0.8656","0.8621"
2001-11-30,"0.8693","0.8658"
2001-12-31,"0.8701","0.8667"
2002-01-31,"0.8731","0.8700"
2002-02-28,"0.8730","0.8699"
2002-03-29,"0.8795","0.8761"
2002-04-30,"0.8845","0.8812"
2002-05-31,"0.9022","0.8990"
2002-06-28,"0.8934","0.8900"
2002-07-31,"0.8918","0.8885"
2002-08-30,"0.8915","0.8882"
2002-09-27,"0.8918","0.8886"
2002-10-31,"0.8919","0.8888"
2002-11-29,"0.8994","0.8963"
2002-12-31,"0.8964","0.8934"
2003-01-29,"0.8998","0.8968"
2003-02-28,"0.8997","0.8967"
2003-03-31,"0.9006","0.8975"
2003-04-30,"0.9038","0.9007"
2003-05-30,"0.9030","0.8999"
2003-06-30,"0.8991","0.8960"
2003-07-31,"0.9000","0.8969"
2003-08-29,"0.8926","0.8897"
2003-09-30,"0.8936","0.8907"
2003-10-31,"0.9080","0.9051"
2003-11-28,"0.9088","0.9058"
2003-12-31,"0.9030","0.9000"
2004-01-30,"0.9094","0.9064"
2004-02-27,"0.9181","0.9151"
2004-03-31,"0.9201","0.9171"
2004-04-30,"0.9260","0.9231"
2004-05-31,"0.9264","0.9235"
2004-06-30,"0.8957","0.8930"
2004-07-30,"0.8963","0.8936"
2004-08-31,"0.8894","0.8867"
2004-09-30,"0.8877","0.8850"
2004-10-29,"0.8890","0.8864"
2004-11-30,"0.8930","0.8903"
2004-12-31,"0.8758","0.8733"
2005-01-31,"0.8712","0.8688"
2005-02-28,"0.8845","0.8821"
2005-03-31,"0.8362","0.8340"
2005-04-29,"0.8386","0.8365"
2005-05-31,"0.8439","0.8417"
2005-06-30,"0.8428","0.8407"
2005-07-29,"0.8421","0.8400"
2005-08-31,"0.8565","0.8544"
2005-09-30,"0.8554","0.8533"
2005-10-31,"0.8491","0.8470"
2005-11-30,"0.8486","0.8465"
2005-12-30,"0.8543","0.8522"
2006-01-09,"0.8530","0.8509"
2006-02-28,"0.8453","0.8432"
2006-03-31,"0.8453","0.8431"
2006-04-28,"0.8914","0.8892"
2006-05-31,"0.8384","0.8363"
2006-06-30,"0.8500","0.8481"
2006-07-31,"0.8360","0.8341"
2006-08-31,"0.8407","0.8389"
2006-09-29,"0.8390","0.8371"
2006-10-31,"0.8365","0.8347"
2006-11-30,"0.8460","0.8442"
2006-12-29,"0.8339","0.8321"
2007-01-31,"0.8791","0.8773"
2007-02-28,"0.8701","0.8683"
2007-03-30,"0.8581","0.8563"
