日期_Date,流通股月换手率(%)_MonTrdTurnR,月收益率_Monret,月无风险收益率_Monrfret,市盈率_PE,每股收益(摊薄)(元/股)_EPS,净资产收益率(摊薄)(%)_ROE,每股营业收入(元/股)_IncomePS
2001-01-19,"37.3129","0.0261","0.001650","100.88","0.08","3.553300","0.53"
2001-02-28,"13.7030","-0.0889","0.001650","91.91","0.08","3.553300","0.53"
2001-03-30,"14.6871","0.0382","0.001650","95.41","0.15","6.265800","1.44"
2001-04-30,"34.6022","0.0671","0.001650","101.21","0.15","6.265800","1.44"
2001-05-31,"26.5100","0.0053","0.001650","101.74","0.15","6.265800","1.44"
2001-06-29,"32.0470","0.0013","0.001650","101.88","0.15","6.265800","1.44"
2001-07-31,"31.6560","-0.0757","0.001650","93.60","0.15","6.265800","1.44"
2001-08-31,"10.3092","-0.0377","0.001650","90.07","0.09","3.585300","0.86"
2001-09-28,"5.7314","-0.0333","0.001650","87.08","0.09","3.585300","0.86"
2001-10-31,"7.3288","-0.1163","0.001650","76.67","0.09","3.585300","0.86"
2001-11-30,"8.4320","0.0684","0.001650","81.91","0.09","3.585300","0.86"
2001-12-31,"6.9429","-0.0608","0.001650","76.93","0.09","3.585300","0.86"
2002-01-31,"6.8908","-0.1009","0.001650","68.92","0.09","3.585300","0.86"
2002-02-28,"4.3934","0.0163","0.001586","70.04","0.09","3.585300","0.86"
2002-03-29,"21.9751","0.0888","0.001425","76.26","0.09","3.585300","0.86"
2002-04-30,"22.9476","0.0833","0.001425","259.13","-0.06","-2.566100","0.17"
2002-05-31,"8.3301","-0.1457","0.001425","221.37","-0.06","-2.566100","0.17"
2002-06-28,"12.0485","0.0890","0.001425","240.46","-0.06","-2.566100","0.17"
2002-07-31,"9.8184","-0.0267","0.001425","99.47","-0.06","-2.566100","0.17"
2002-08-30,"10.1511","0.0346","0.001656","102.91","0.05","1.926300","0.96"
2002-09-27,"25.6260","-0.0523","0.001852","97.53","0.05","1.926300","0.96"
2002-10-31,"4.6714","-0.0506","0.001892","61.55","0.14","5.396100","1.74"
2002-11-29,"5.5148","-0.0990","0.001892","55.45","0.14","5.396100","1.74"
2002-12-31,"7.8070","-0.0317","0.001892","53.69","0.14","5.396100","1.74"
2003-01-29,"14.1083","0.0961","0.001892","119.24","0.14","5.396100","1.74"
2003-02-28,"4.3379","-0.0060","0.001892","118.53","0.14","5.396100","1.74"
2003-03-31,"4.1344","-0.0341","0.001892","114.49","0.14","5.396100","1.74"
2003-04-30,"23.5313","-0.1224","0.001886","121.90","-0.08","-3.129700","0.18"
2003-05-30,"13.3941","0.0225","0.001823","124.64","-0.08","-3.129700","0.18"
2003-06-30,"9.6859","-0.0347","0.001891","120.32","-0.08","-3.129700","0.18"
2003-07-31,"3.1226","-0.0395","0.001945","-55.25","-0.08","-3.129700","0.18"
2003-08-29,"4.1685","0.0350","0.001964","-57.18","-0.18","-7.910100","0.36"
2003-09-30,"19.3218","-0.0507","0.002225","-54.28","-0.18","-7.910100","0.36"
2003-10-31,"6.6390","-0.1807","0.002246","-37.14","-0.12","-5.091100","0.94"
2003-11-28,"8.7253","0.0295","0.002251","-38.24","-0.12","-5.091100","0.94"
2003-12-31,"10.2624","-0.0513","0.002046","-36.27","-0.12","-5.091100","0.94"
2004-01-30,"8.3220","0.0970","0.002046","-34.14","-0.12","-5.091100","0.94"
2004-02-27,"26.6595","0.1116","0.001888","-37.95","-0.12","-5.091100","0.94"
2004-03-31,"14.1878","0.0548","0.001682","-40.03","-0.12","-5.091100","0.94"
2004-04-30,"27.1094","-0.1150","0.001776","-41.90","-0.04","-1.974000","0.23"
2004-05-31,"3.3418","-0.0363","0.002020","-40.37","-0.04","-1.974000","0.23"
2004-06-30,"5.0442","0.0072","0.002354","-40.67","-0.04","-1.974000","0.23"
2004-07-30,"3.7034","-0.0475","0.002402","186.48","-0.04","-1.974000","0.23"
2004-08-31,"4.1930","0.0242","0.002377","190.99","0.06","2.404300","0.99"
2004-09-30,"18.9134","0.0221","0.002008","195.21","0.06","2.404300","0.99"
2004-10-29,"9.4902","-0.0620","0.002090","129.48","0.19","7.643700","1.86"
2004-11-30,"15.8536","0.0954","0.002086","141.83","0.19","7.643700","1.86"
2004-12-31,"16.3903","0.0576","0.002035","150.00","0.19","7.643700","1.86"
