day, open, high, low, close, volume
2011-09-28,12.800,12.800,11.810,11.850,68260880
2011-09-29,11.600,12.700,11.510,12.380,55975244
2011-09-30,12.280,12.680,12.020,12.460,38487768
2011-10-10,12.460,12.470,11.210,11.320,34180024
2011-10-11,11.600,12.450,11.530,12.330,55751612
2011-10-12,11.800,12.990,11.680,12.820,60734052
2011-10-13,12.600,13.100,12.510,12.830,43620552
2011-10-14,12.690,12.800,12.380,12.550,23072804
2011-10-17,12.560,13.230,12.400,13.040,41337500
2011-10-18,12.850,12.950,12.100,12.220,35034656
2011-10-19,12.260,12.500,12.120,12.130,20425876
2011-10-20,12.000,12.030,11.460,11.700,18858888
2011-10-21,11.660,11.740,11.290,11.380,9849290
2011-10-24,11.480,12.040,11.250,11.920,18088064
2011-10-25,11.890,12.400,11.640,12.100,19845900
2011-10-26,11.930,12.500,11.880,12.130,19554264
2011-10-27,12.220,12.250,11.890,12.050,11568612
2011-10-28,12.220,12.350,11.930,12.180,16537676
2011-10-31,12.340,12.550,12.180,12.320,13911420
2011-11-01,12.150,12.460,12.050,12.190,14609590
2011-11-02,11.900,12.210,11.700,12.160,14634285
2011-11-03,12.200,12.750,12.060,12.350,24430004
2011-11-04,12.450,12.550,12.150,12.370,13293778
2011-11-07,12.290,12.510,12.210,12.270,10506057
2011-11-08,12.260,12.320,11.960,11.980,9364790
2011-11-09,11.990,12.130,11.780,12.050,8043143
2011-11-10,11.890,11.930,11.630,11.660,10299737
2011-11-11,11.760,11.810,11.500,11.590,7039048
2011-11-14,11.730,11.880,11.640,11.830,6920381
2011-11-15,11.790,11.970,11.780,11.910,6478520
2011-11-16,11.870,11.900,11.550,11.700,6669942
2011-11-17,11.670,11.840,11.660,11.700,4638385
2011-11-18,11.650,11.690,11.490,11.580,5299644
2011-11-21,11.580,11.730,11.530,11.590,3549279
2011-11-22,11.550,11.570,11.330,11.440,3939313
2011-11-23,11.450,11.480,11.260,11.320,3342406
2011-11-24,11.210,11.380,11.090,11.300,4320190
2011-11-25,11.280,11.340,11.080,11.140,2795459
2011-11-28,11.160,11.280,11.110,11.180,2001763
2011-11-29,11.280,11.390,11.200,11.370,2723065
2011-11-30,11.350,11.350,10.690,10.820,5367695
2011-12-01,11.130,11.340,11.030,11.140,7411654
2011-12-02,11.140,11.210,10.890,10.900,2636594
2011-12-05,10.900,10.930,10.620,10.640,2041758
2011-12-06,10.600,11.090,10.530,11.020,6209612
2011-12-07,11.070,11.250,10.980,11.090,3023220
2011-12-08,11.150,11.350,11.030,11.290,4725854
2011-12-09,11.200,11.340,11.110,11.200,4258359
2011-12-12,11.170,11.320,11.160,11.250,2393829
2011-12-13,11.200,11.200,10.800,11.090,3395258
2011-12-14,11.010,11.270,10.780,10.880,2848139
2011-12-15,10.920,10.970,10.600,10.750,2601337
2011-12-16,10.800,11.420,10.750,11.350,5573925
2011-12-19,11.350,11.730,11.200,11.640,6985249
2011-12-20,11.600,11.790,11.450,11.480,3880185
2011-12-21,11.530,11.800,11.390,11.410,4034326
2011-12-22,11.420,11.700,11.270,11.600,4213965
2011-12-23,11.550,11.960,11.530,11.840,6377640
2011-12-26,11.840,11.980,11.700,11.710,3435287
2011-12-27,11.680,11.820,11.440,11.570,4294933
2011-12-28,11.600,11.620,11.400,11.490,10298911
